City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Dhidhdhoo,MV,6.8833,73.1,81.75,71,99,9.42,overcast clouds
244,Tongliao,CN,43.6125,122.2653,-3.86,86,49,10.85,scattered clouds
245,Iqaluit,CA,63.7506,-68.5145,14.0,85,90,9.22,light snow
246,Lake Havasu City,US,34.4839,-114.3224,53.01,29,1,3.44,clear sky
247,Manaure,CO,11.7751,-72.4445,82.98,60,42,15.9,scattered clouds
248,Portland,US,45.5234,-122.6762,43.0,87,90,6.91,overcast clouds
249,Finnsnes,NO,69.2296,17.9811,33.8,86,90,3.44,light snow
250,Gao,ML,16.6362,1.637,89.15,11,0,7.78,clear sky
251,Preobrazheniye,RU,42.9019,133.9064,6.08,78,0,9.28,clear sky
252,San Cristobal,VE,7.7669,-72.225,80.6,61,40,3.44,fog
253,Lastoursville,GA,-0.8143,12.7287,88.38,50,88,0.51,light rain
254,Mandalgovi,MN,45.7625,106.2708,-2.74,83,0,14.99,clear sky
255,Alice Springs,AU,-23.7,133.8833,69.8,49,90,8.05,overcast clouds
256,Tekirdag,TR,40.978,27.5085,32.0,100,75,13.8,heavy snow
257,Huarmey,PE,-10.0681,-78.1522,74.66,71,67,7.99,broken clouds
258,Bara,NG,10.3744,10.7288,91.4,24,14,3.83,few clouds
259,Lasa,IT,46.6166,10.7002,30.99,58,0,6.91,clear sky
260,Payakumbuh,ID,-0.2202,100.6308,70.14,86,99,2.57,overcast clouds
261,Laguna,US,38.421,-121.4238,44.01,93,1,4.54,fog
262,Salalah,OM,17.0151,54.0924,75.2,69,0,3.44,clear sky
263,Pacific Grove,US,36.6177,-121.9166,54.0,58,1,8.05,clear sky
264,Gari,RU,59.4307,62.3497,6.4,95,100,7.56,overcast clouds
265,Saravan,AM,39.7196,45.6483,42.8,52,75,9.22,broken clouds
266,Chino Valley,US,34.7575,-112.4538,45.0,32,1,4.61,clear sky
267,Sabang,ID,5.8933,95.3214,78.35,84,96,10.83,overcast clouds
268,Bo Rai,TH,12.5728,102.5371,77.0,75,0,1.07,clear sky
269,Kristiinankaupunki,FI,62.2743,21.376,19.71,97,90,2.44,overcast clouds
270,Kieta,PG,-6.2167,155.6333,79.47,78,84,4.07,light rain
271,Trelew,AR,-43.249,-65.3051,66.67,33,98,22.19,overcast clouds
272,San Patricio,US,28.017,-97.5169,50.0,70,20,4.61,few clouds
273,Lishu,CN,43.3047,124.3278,-1.98,90,12,10.31,few clouds
274,Vuktyl,RU,63.8567,57.3094,-9.51,90,32,7.76,scattered clouds
275,Anan,JP,33.9167,134.65,46.4,61,75,10.36,broken clouds
276,Miyako,JP,39.6367,141.9525,30.15,91,2,4.18,clear sky
277,Tres Picos,MX,15.8667,-93.5333,80.76,47,68,7.4,broken clouds
278,Puerto Leguizamo,CO,-0.1934,-74.7819,84.85,58,29,6.35,scattered clouds
279,Chumikan,RU,54.7183,135.315,-19.73,82,0,13.35,clear sky
280,Nogliki,RU,51.8333,143.1667,-18.26,85,0,8.01,clear sky
281,Kuito,AO,-12.3833,16.9333,77.0,36,75,5.75,broken clouds
282,Maur,IN,30.0833,75.25,54.46,40,0,3.78,clear sky
283,Bridlington,GB,54.0831,-0.1919,43.0,87,75,5.99,broken clouds
284,Port Lincoln,AU,-34.7333,135.8667,61.14,74,89,9.4,overcast clouds
285,Sambava,MG,-14.2667,50.1667,81.95,72,8,6.64,clear sky
286,Nioki,CD,-2.7167,17.6833,89.96,45,98,1.14,overcast clouds
287,Novoagansk,RU,61.9449,76.6625,-0.99,93,95,4.59,overcast clouds
288,Sopotnica,MK,41.2947,21.155,26.6,46,75,12.66,broken clouds
289,Toora-Khem,RU,52.4675,96.11,-3.3,87,100,1.5,overcast clouds
290,Shu,KZ,43.5983,73.7614,39.99,83,0,11.99,clear sky
291,Stramtura,RO,47.7833,24.1333,19.4,73,75,3.44,broken clouds
292,Hinton,CA,53.4001,-117.5857,21.2,93,12,4.61,few clouds
293,Nalut,LY,30.3333,10.85,56.12,36,0,16.42,clear sky
294,Reggio Di Calabria,IT,38.1105,15.6613,51.8,50,20,17.27,few clouds
295,Irbeyskoye,RU,55.6428,95.4522,8.31,95,100,4.14,light snow
296,Geraldton,AU,-28.7667,114.6,93.2,27,100,21.85,overcast clouds
297,Hobyo,SO,5.3505,48.5268,77.72,76,1,17.4,clear sky
298,Sabana Grande De Boya,DO,18.945,-69.7933,80.6,83,40,2.37,scattered clouds
299,Kaitangata,NZ,-46.2817,169.8464,57.07,94,97,7.87,overcast clouds
300,Okhotsk,RU,59.3833,143.3,-15.25,86,92,8.72,overcast clouds
301,Kerman,IR,30.2832,57.0788,51.8,16,0,4.61,clear sky
302,Ahipara,NZ,-35.1667,173.1667,60.84,89,1,4.88,clear sky
303,Ilanskiy,RU,56.2358,96.065,4.35,95,100,4.92,light snow
304,Hasaki,JP,35.7333,140.8333,42.8,61,75,11.5,broken clouds
305,Katsuura,JP,35.1333,140.3,46.99,49,75,17.27,broken clouds
306,Puerto Del Rosario,ES,28.5004,-13.8627,68.0,52,20,16.11,few clouds
307,Quelimane,MZ,-17.8786,36.8883,88.41,65,100,2.75,overcast clouds
308,Launceston,AU,-41.45,147.1667,44.6,76,90,5.75,overcast clouds
309,Barguzin,RU,53.6167,109.6167,-9.96,81,62,7.72,broken clouds
310,Wewak,PG,-3.5534,143.6268,80.92,79,98,3.85,overcast clouds
311,Qarqin,AF,37.4185,66.0436,49.35,49,0,6.73,clear sky
312,Mayumba,GA,-3.432,10.6554,81.19,74,94,10.11,overcast clouds
313,San Carlos De Bariloche,AR,-41.1456,-71.3082,59.0,41,20,13.8,few clouds
