City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
189,Yecla,ES,2021-01-11 01:20:27,38.6137,-1.1147,37.99,86,25,4.36
190,Sur,OM,2021-01-11 01:20:27,22.5667,59.5289,64.96,46,0,12.37
191,Evensk,RU,2021-01-11 01:20:27,61.95,159.2333,6.66,92,100,18.14
192,Ostrovnoy,RU,2021-01-11 01:17:20,68.0531,39.5131,6.15,93,21,12.01
193,Upernavik,GL,2021-01-11 01:11:26,72.7868,-56.1549,10.49,86,100,13.06
194,Kavieng,PG,2021-01-11 01:12:03,-2.5744,150.7967,85.33,65,98,1.68
195,Raudeberg,NO,2021-01-11 01:20:27,61.9875,5.1352,30.99,94,100,19.37
196,Goderich,CA,2021-01-11 01:20:27,43.7501,-81.7165,30.2,74,98,8.05
197,Gorontalo,ID,2021-01-11 01:12:11,0.5412,123.0595,86.45,62,0,2.19
198,Katangli,RU,2021-01-11 01:11:57,51.7102,143.2326,-8.39,84,83,12.15
199,Oranjemund,NA,2021-01-11 01:20:27,-28.55,16.4333,61.63,85,1,13.42
200,Tocopilla,CL,2021-01-11 01:20:27,-22.092,-70.1979,68.79,68,47,10.25
201,Pochutla,MX,2021-01-11 01:20:27,15.7432,-96.4661,75.2,78,40,2.33
202,Provideniya,RU,2021-01-11 01:11:36,64.3833,-173.3,-4.0,71,0,2.24
203,Leningradskiy,RU,2021-01-11 01:11:37,69.3833,178.4167,-21.89,83,93,9.4
204,Minab,IR,2021-01-11 01:15:51,27.1467,57.0801,42.8,22,0,4.61
205,Dingle,PH,2021-01-11 01:20:27,10.9995,122.6711,75.06,91,100,12.93
206,Nanortalik,GL,2021-01-11 01:11:45,60.1432,-45.2371,32.2,93,100,3.06
207,Broome,US,2021-01-11 01:20:28,42.2506,-75.833,24.01,86,1,6.91
208,Nuuk,GL,2021-01-11 01:20:28,64.1835,-51.7216,33.8,93,90,31.07
209,Tuatapere,NZ,2021-01-11 01:11:55,-46.1333,167.6833,61.0,61,100,15.99
210,Prescott,US,2021-01-11 01:20:14,34.54,-112.4685,44.01,24,1,1.92
211,San Quintin,MX,2021-01-11 01:20:28,30.4833,-115.95,61.38,55,6,7.85
212,Seoul,KR,2021-01-11 01:20:06,37.5683,126.9778,19.4,68,100,3.44
213,Lasa,IT,2021-01-11 01:11:36,46.6166,10.7002,19.0,77,0,6.06
214,Iqaluit,CA,2021-01-11 01:08:26,63.7506,-68.5145,1.4,71,75,12.66
215,Aksu,CN,2021-01-11 01:20:28,41.1231,80.2644,6.8,80,0,1.97
216,Malartic,CA,2021-01-11 01:20:28,48.1335,-78.1328,8.6,100,20,3.44
217,Cherskiy,RU,2021-01-11 01:11:37,68.75,161.3,-34.74,83,61,1.61
218,Mar Del Plata,AR,2021-01-11 01:09:16,-38.0023,-57.5575,71.01,88,90,16.11
219,Ancud,CL,2021-01-11 01:11:38,-41.8697,-73.8203,46.0,87,75,3.44
220,Mareeba,AU,2021-01-11 01:20:28,-17.0,145.4333,87.8,66,40,4.61
221,Amga,RU,2021-01-11 01:20:28,60.8953,131.9608,-40.18,79,99,0.85
222,Ixtapa,MX,2021-01-11 01:17:17,20.7,-105.2,69.8,83,1,6.91
223,Vestmannaeyjar,IS,2021-01-11 01:11:55,63.4427,-20.2734,29.17,83,0,5.14
224,Carora,VE,2021-01-11 01:20:28,10.1755,-70.0827,74.59,76,39,10.0
225,Mwanza,TZ,2021-01-11 01:20:28,-2.5167,32.9,66.72,82,71,1.7
226,Kaili,ID,2021-01-11 01:20:28,-3.4626,120.2147,77.68,76,12,2.04
227,Puerto Escondido,MX,2021-01-11 01:20:28,15.85,-97.0667,75.2,78,40,2.51
228,Pontes E Lacerda,BR,2021-01-11 01:20:28,-15.2261,-59.3353,78.4,73,99,2.84
229,Dikson,RU,2021-01-11 01:11:39,73.5069,80.5464,21.33,98,100,17.11
230,Narasannapeta,IN,2021-01-11 01:20:29,18.4167,84.05,67.41,82,0,4.52
231,Lagoa,PT,2021-01-11 01:11:54,39.05,-27.9833,61.0,93,12,10.42
232,Quelimane,MZ,2021-01-11 01:20:29,-17.8786,36.8883,80.6,83,0,3.44
233,Dicabisagan,PH,2021-01-11 01:20:29,17.0818,122.4157,70.54,78,100,10.51
234,Cockburn Town,TC,2021-01-11 01:11:53,21.4612,-71.1419,77.0,78,40,11.5
235,Izhevskoye,RU,2021-01-11 01:20:29,54.5567,40.8703,5.07,95,84,5.64
236,Atambua,ID,2021-01-11 01:20:29,-9.1061,124.8925,82.96,74,0,2.46
237,Kawerau,NZ,2021-01-11 01:20:29,-38.1,176.7,87.01,30,0,4.0
238,Bilma,NE,2021-01-11 01:11:40,18.6853,12.9164,68.4,23,0,8.57
239,Paracuru,BR,2021-01-11 01:20:29,-3.41,-39.0306,81.0,74,5,14.0
240,Lazaro Cardenas,MX,2021-01-11 01:12:06,17.9583,-102.2,75.52,77,85,4.76
241,Luderitz,NA,2021-01-11 01:12:03,-26.6481,15.1594,66.58,69,5,23.58
242,Simao,CN,2021-01-11 01:20:29,22.7886,100.9748,50.79,88,100,2.95
243,Port Elizabeth,ZA,2021-01-11 01:11:37,-33.918,25.5701,68.0,77,75,6.91
244,New Norfolk,AU,2021-01-11 01:11:34,-42.7826,147.0587,88.0,18,85,4.0
245,Kabwe,ZM,2021-01-11 01:20:29,-14.4469,28.4464,66.07,96,100,3.94
246,Temirtau,KZ,2021-01-11 01:19:33,50.0544,72.9483,10.4,61,0,8.95
247,Asau,RO,2021-01-11 01:12:06,46.4333,26.4,30.2,100,90,8.05
248,Neuquen,AR,2021-01-11 01:20:30,-38.9516,-68.0591,71.6,40,0,11.5
249,Zhucheng,CN,2021-01-11 01:20:30,35.9947,119.3975,24.49,81,100,5.86
250,Beyneu,KZ,2021-01-11 01:11:58,45.3167,55.2,30.15,88,87,6.78
251,Staryy Nadym,RU,2021-01-11 01:20:30,65.6118,72.6842,-26.66,84,1,4.29
252,Sinjai,ID,2021-01-11 01:12:08,-5.1241,120.253,84.78,71,100,1.23
253,Codrington,AU,2021-01-11 01:11:39,-38.2667,141.9667,90.3,24,100,19.71
254,Baixa Grande,BR,2021-01-11 01:20:30,-11.9597,-40.1681,74.57,80,4,6.13
255,Touros,BR,2021-01-11 01:11:43,-5.1989,-35.4608,80.6,74,40,8.05
256,Havre-Saint-Pierre,CA,2021-01-11 01:11:43,50.2334,-63.5986,6.8,85,1,2.3
257,Jieshi,CN,2021-01-11 01:20:30,22.8134,115.8257,48.0,50,100,1.01
258,Burnie,AU,2021-01-11 01:20:30,-41.0667,145.9167,75.0,52,94,8.99
259,Kaeo,NZ,2021-01-11 01:11:56,-35.1,173.7833,78.01,50,0,5.99
260,Noumea,NC,2021-01-11 01:11:30,-22.2763,166.4572,89.6,70,90,9.22
261,Aklavik,CA,2021-01-11 01:11:42,68.2191,-135.0107,8.6,85,75,2.3
262,Athy,IE,2021-01-11 01:20:30,52.9914,-6.9803,42.01,90,100,3.0
263,Enid,US,2021-01-11 01:11:06,36.3956,-97.8784,35.01,80,1,4.43
264,Sivaki,RU,2021-01-11 01:20:30,52.6333,126.75,-15.97,86,0,4.21
265,Narasaraopet,IN,2021-01-11 01:20:30,16.25,80.0667,68.4,93,100,2.39
266,Khash,IR,2021-01-11 01:20:31,28.2211,61.2158,31.78,54,0,4.23
267,Twentynine Palms,US,2021-01-11 01:18:53,34.1356,-116.0542,55.4,22,1,2.48
268,Samana,DO,2021-01-11 01:20:31,19.2056,-69.3369,74.97,86,100,7.58
269,Hobyo,SO,2021-01-11 01:20:31,5.3505,48.5268,73.85,74,96,20.54
270,Tateyama,JP,2021-01-11 01:20:31,34.9833,139.8667,41.0,38,100,8.01
