City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
399,399,Eboli,IT,46.4,clear sky,40.6142,15.0579,Hotel Grazia Eboli
404,404,Faya,SA,62.6,clear sky,18.3851,42.4509,مقبرة ال مجمل
405,405,Lata,PT,61.0,clear sky,40.1629,-8.3327,Casa Maquia
406,406,Ixtapa,MX,60.8,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
411,411,Rosarito,MX,61.0,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
412,412,Esperance,AU,57.2,clear sky,-33.8667,121.9,Hospitality Esperance
419,419,Reading,GB,48.99,few clouds,51.4562,-0.9711,"Holiday Inn Reading-South M4, JCT.11"
422,422,Carlyle,US,34.0,overcast clouds,38.6103,-89.3726,Centerstone Inn & Suites - Carlyle
423,423,Romny,UA,7.52,overcast clouds,50.751000000000005,33.4747,Floriana
424,424,Nepomuk,CZ,21.99,overcast clouds,49.4862,13.5823,Hotel U zeleného stromu
426,426,Coquimbo,CL,62.6,few clouds,-29.9533,-71.3436,Hotel San Juan
429,429,Linqiong,CN,46.99,light rain,30.4159,103.4609,Tianlun Tanxianglou Hotel
431,431,Komsomolskiy,UZ,39.2,mist,40.4272,71.7189,Ikathouse
433,433,Saint Anthony,US,30.2,overcast clouds,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
434,434,Valdivia,CL,64.4,broken clouds,-39.8142,-73.2459,Hostal Entre Rios
437,437,Amarpatan,IN,55.31,clear sky,24.3167,80.9833,शेख अब्दुल रशीद रोड
438,438,Hofn,IS,40.32,moderate rain,64.2539,-15.2082,Hótel Höfn
440,440,Olafsvik,IS,36.7,light rain,64.8945,-23.7142,Hotel Olafsvik
445,445,Bor,RU,12.0,light snow,56.3567,44.0669,Oktyabrskaya Hotel
453,453,Dali,CN,44.82,overcast clouds,25.7,100.1833,Dali Travelling With Hostel
454,454,Smithers,CA,30.2,broken clouds,54.7804,-127.1743,Prestige Hudson Bay Lodge
455,455,Mandan,US,21.2,mist,46.8267,-100.8896,Twin City Estates
456,456,Novotroitskaya,RU,28.4,light snow,45.3267,41.5253,"Gostevoy Dom ""Zastava"""
458,458,Vrangel,RU,7.83,clear sky,42.7297,133.0839,"Отель ""БАЛИ"""
462,462,Markova,UA,17.6,light snow,48.6758,24.4138,Kempinh
463,463,Qaqortoq,GL,23.0,broken clouds,60.7167,-46.0333,Hotel Qaqortoq
464,464,Russell,US,41.0,clear sky,32.3502,-85.1999,Macs
465,465,Clermont,FR,32.0,snow,49.5,2.4167,"gîte et chambres d'hôtes"" Le Manoir Enchanté"" de Mme Doumayrou"
468,468,Vestmannaeyjar,IS,37.4,overcast clouds,63.4427,-20.2734,Glamping & Camping
471,471,Topolobampo,MX,48.2,fog,25.6,-109.05,Hotel Marina Topolobampo
472,472,Fort-Shevchenko,KZ,35.69,scattered clouds,44.5086,50.263000000000005,Oasis hotel Bautino
479,479,Boone,US,32.0,overcast clouds,39.0334,-92.3335,Cottonwoods RV Park
481,481,Xiaoweizhai,CN,36.32,overcast clouds,26.1903,107.5125,Karst Youth Hostel
